id,name,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100263009,Quick Summon,,,self,,,,,,,,,,,,,
100266002,Mind Mirror Force,,self,,,,,,,,,,,,,,
100268201,波动之超魔导剑士-黑魔导剑士,,,{CARD},,,,,,,,,,,,,
101305084,Thundercrash Snarecrow,,,self,,,,,,,,,,,,,
101305088,Imposter Shift,,,self,,,,,,,,,,,,,
101305096,Angelechy Opening to e4,,self,self,,,,,,,,,,,,,
101306008,Thousand Umbral Horror,,,{CARD},,,,,,,,,,,,,
101306019,Ars Magna of Purification and Corruption,,,,{CARD},,,,,,,,,,,,
101306031,Misstic Call,,,self,,,,,,,,,,,,,
101306042,Number 104: Masquerade Vain,,,{CARD},,,,,,,,,,,,,
101306046,Azure Ocean Dragon Lord - Neo-Daedalus Rage,self,,,,,,,,,,,,,,,
101306047,Levia-Dragoon - Daedalus,self,,,,,,,,,,,,,,,
101306054,Sleepy Scapegoats,,,101306001,,,,,,,,,,,,,
101306079,Corpse-Seller Crow,,,,,,self,,,,,,,,,,
