id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200292,Elfo Pura Sangre,"Durante tu Main Phase: puedes mandar al Cementerio 1 Mágica de Equipo desde tu Deck, y después esta carta gana 500 ATK hasta el final del turno de tu adversario. 
Sólo puedes usar este efecto de ""Elfo Pura Sangre"" una vez por turno. 
Cuando esta carta destruye un monstruo del adversario en batalla: puedes añadir a tu mano, o Invocar de Modo Especial, 1 monstruo Lanzador de Conjuros LUZ de Nivel 4 o menor desde tu Deck, excepto ""Elfo Pura Sangre"".",Enviar al Cementerio,Manipulación del Deck,,,,,,,,,,,,,,
100200293,León de Asalto,"Puedes Invocar esta carta por Sacrificio boca arriba Sacrificando 1 monstruo Guerrero-Bestia. 
Si esta carta batalla con un monstruo, cualquier daño de batalla que inflija a tu adversario se duplica. 
Si uno o más monstruos Guerrero-Bestia son Invocados de Modo Normal o Especial a tu Campo mientras esta carta está en tu Cementerio: puedes añadir esta carta a tu mano, e inmediatamente después de que este efecto se resuelva, puedes Invocarla por Sacrificio boca arriba y, si lo haces, gana 500 ATK, y además destiérrala cuando deje el Campo. 
Sólo puedes usar este efecto de ""León de Asalto"" una vez por turno.",Invocar por Sacrificio usando 1 monstruo Guerrero-Bestia,Añadir a la mano,¿Invocación por Sacrificio?,,,,,,,,,,,,,
100200294,Conexión de Poder,"Selecciona cualquier número de monstruos boca arriba que controles con el mismo Tipo; hasta el final de este turno, ganan 500 ATK por cada monstruo seleccionado. 
Si activaste ""Reencarnación del Armamento"" este turno: puedes añadir esta carta desde tu Cementerio a tu mano. 
Sólo puedes usar cada uno de los efectos de ""Conexión de Poder"" una vez por turno.",Activar,Recuperar,,,,,,,,,,,,,,
100266001,Secretos Ancestrales,"Invoca de Modo Especial 1 Monstruo Normal desde tu mano, Deck o Cementerio en Posición de Defensa (pero si lo Invocas desde el Deck, el monstruo debe ser de Nivel 4 o menor), o, si controlas una Carta de Monstruo Normal, puedes aplicar 1 de estos efectos en su lugar;
● Destruye todos los monstruos que controle tu adversario.
● Destruye todas las Mágicas/Trampas que controle tu adversario.
● Roba 2 cartas.
● Invoca de Modo Especial 1 monstruo de cualquier Cementerio a tu Campo.	
Sólo puedes activar 1 ""Secretos Ancestrales"" por turno.",Activar,¿Aplicar otro efecto?,Destruye un monstruo,Destruir Cartas Mágicas/de Trampa,Robar,Invocación Especial,,,,,,,,,,
100266002,Fuerza de Espejo Mental,"Si tu adversario controla 5 o más cartas boca arriba, la activación y el efecto de esta carta no pueden ser negados, y además puede ser activada en el turno en que fue Colocada. 
Puedes activar este efecto en uno de los siguientes momentos: niega los efectos de tantas cartas boca arriba que controle tu adversario como sea posible y, si lo haces, destrúyelas. Tus monstruos no pueden atacar directamente hasta el final del próximo turno después de que esta carta se resuelva.
● Cuando un monstruo del adversario con el ATK más alto declara un ataque.
● Cuando tu adversario activa un efecto de monstruo que destruiría una o más cartas en el Campo.
● Cuando tu adversario activa un efecto de monstruo en la mano o Campo durante tu turno.",Activar,"Activar aplicando el efecto de ""Fuerza de Espejo Mental"".",,,,,,,,,,,,,,
100266003,Emisarios de la Oscuridad,"Si recibes daño de batalla o de efecto: puedes Invocar esta carta de Modo Especial desde tu mano y, si lo haces, ganas 2000 LP, y después puedes aplicar 1 de los siguientes efectos;
● Invoca de Modo Especial 1 ""Emisarios de la Oscuridad"" desde tu mano, Deck o Cementerio.
● Destruye hasta 2 monstruos en Posición de Ataque que controle tu adversario.	
Durante la End Phase, si esta carta fue Invocada de Modo Especial este turno: puedes seleccionar 1 Trampa en tu Cementerio; Colócala. 
Sólo puedes usar cada efecto de ""Emisarios de la Oscuridad"" una vez por turno.
",Invocación Especial,Colocar una Trampa,Invocación Especial,Efecto de destrucción,No hacer nada,,,,,,,,,,,
100266004,Dragón Armado Oscuro Castigador,"No puede ser Invocado de Modo Normal/Colocado. Debe ser Invocado de Modo Especial (desde tu mano) teniendo exactamente 3 monstruos de OSCURIDAD en tu Cementerio. 
Puedes revelar esta carta en tu mano; Invoca de Modo Especial 1 monstruo de OSCURIDAD de Nivel 6 o menor desde tu mano, y además no puedes Invocar de Modo Especial por el resto de este turno, excepto monstruos de OSCURIDAD. 
(Efecto Rápido): Durante la Main Phase: puedes desterrar hasta 3 monstruos de OSCURIDAD en tu Cementerio, y después seleccionar la misma cantidad de cartas en el Campo; destrúyelas. 
Sólo puedes usar los efectos de ""Dragón Armado Oscuro Castigador"" una vez por turno.",Invocación Especial,Destruir,,,,,,,,,,,,,,
100266005,"Ekhajar, Dragón Descendiente de la Barrera de Hielo","1 Cantante + 1+ monstruos que no sean Cantantes	
Si esta carta es Invocada por Sincronía: puedes descartar 1 carta; destierra 2 cartas del Campo y/o Cementerio de tu adversario. 
Si tu adversario Invoca de Modo Especial uno o más monstruos: puedes desterrar 1 carta en tu mano; devuelve 1 carta en cualquier Campo o Cementerio a la mano. 
Si esta carta Invocada por Sincronía es mandada al Cementerio durante el turno de tu adversario: puedes desterrar 1 carta de su mano (al azar), Campo o Cementerio. 
Sólo puedes usar los efectos de ""Ekhajar, Dragón Descendiente de la Barrera de Hielo"" una vez por turno.",Desterrar del Campo/Cementerio,Devolver a la mano,Desterrar de la mano/Campo/Cementerio,¿Desterrar 1 carta de tu mano?,,,,,,,,,,,,
100266006,Número 101: ARK de Honor Silencioso - Asilo del Alma,"2 monstruos de Nivel 4	
Puedes desacoplar 1 material de esta carta, y después activar 1 de estos efectos;
● Elige 1 monstruo de Nivel 4 en tu Cementerio, excepto el material desacoplado, y añade a tu mano 1 monstruo de Nivel 4 con el mismo Tipo y Atributo, pero con nombre diferente, desde tu Deck.
● Selecciona 1 monstruo que controle tu adversario; acóplalo a esta carta.
Sólo puedes usar este efecto de ""Número 101: ARK de Honor Silencioso - Asilo del Alma"" una vez por turno.	
Si esta carta fuera a ser destruida, puedes desacoplar 1 material de ella en su lugar.",Activar,Añadir a la mano,Como Material Xyz,,,,,,,,,,,,,
100266007,Cielo Definitivo,"Si tu adversario controla más monstruos que tú: activa 1 de estos efectos (pero sólo puedes usar cada uno de estos efectos de ""Cielo Definitivo"" una vez por turno);
● Selecciona cartas boca arriba en el Campo hasta el número de monstruos boca arriba que controle tu adversario y paga 800 LP por cada objetivo; niega sus efectos hasta el final de este turno.
● Cuando tu adversario activa un efecto de monstruo en la mano o Cementerio: niega ese efecto.",Activar,Negar los efectos de las cartas boca arriba en el Campo,Negar un efecto de monstruo activado en la mano o el Cementerio,,,,,,,,,,,,,
