id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200292,Elfe Pur-Sang,"Durant votre Main Phase : vous pouvez envoyer 1 Magie d'Équipement depuis votre Deck au Cimetière, puis cette carte gagne 500 ATK jusqu'à la fin du tour de votre adversaire.
Vous ne pouvez utiliser cet effet de ""Elfe Pur-Sang"" qu'une fois par tour.
Lorsque cette carte détruit un monstre de l'adversaire au combat : vous pouvez ajouter à votre main, ou Invoquer Spécialement, 1 monstre LUMIÈRE Magicien de max. Niveau 4 (""Elfe Pur-Sang"" exclu) depuis votre Deck.",Envoyer au Cimetière,Manipulation du Deck,,,,,,,,,,,,,,
100200293,Lion d'Assaut,"Vous pouvez Invoquer par Sacrifice cette carte face recto en Sacrifiant 1 monstre Bête-Guerrier.
Si cette carte combat un monstre, les dommages de combat qu'elle inflige à votre adversaire sont doublés.
Si un ou plusieurs monstres Bête-Guerrier sont Invoqués Normalement ou Spécialement sur votre Terrain tant que cette carte est dans votre Cimetière : vous pouvez ajouter cette carte à votre main, puis immédiatement après la résolution de cet effet, vous pouvez Invoquer par Sacrifice cette carte face recto, et si vous le faites, elle gagne 500 ATK, et aussi, bannissez-la lorsqu'elle quitte le Terrain.
Vous ne pouvez utiliser cet effet de ""Lion d'Assaut"" qu'une fois par tour.",Invocation Sacrifice en Sacrifiant 1 monstre Bête-Guerrier,Ajouter à la main,Invocation Sacrifice ?,,,,,,,,,,,,,
100200294,Connexion de Puissance,"Ciblez un nombre de votre choix de monstres face recto que vous contrôlez (si vous ciblez min. 2 monstres, ils doivent avoir le même Type) ; ils gagnent 500 ATK pour chaque monstre ciblé, jusqu'à la fin de ce tour.
Si vous avez activé ""Réincarnation d'Armement"" ce tour : vous pouvez ajouter cette carte depuis votre Cimetière à votre main.
Vous ne pouvez utiliser chaque effet de ""Connexion de Puissance"" qu'une fois par tour.",Activer,Recycler,,,,,,,,,,,,,,
100200296,Duel Destiné,"Lorsque cette carte est activée : chaque joueur peut Invoquer Spécialement 1 monstre depuis sa main en Position d'Attaque, puis s'il y a d'autres monstres face recto sur le Terrain, changez-les tous en Position de Défense face verso.
Le reste de ce tour après la résolution de cette carte, vous ne pouvez Invoquer ni Normalement ni Spécialement.
Une fois par tour, lorsque votre monstre déclare une attaque : vous pouvez annuler l'attaque, et si vous le faites, détruisez 1 carte face verso contrôlée par votre adversaire.
Une fois par tour, durant la End Phase de votre adversaire : renvoyez cette carte à la main.",Activer,Détruire,Renvoyer à la main,Invocation Spéciale?,,,,,,,,,,,,
100266001,Anciens Secrets,"Invoquez Spécialement 1 Monstre Normal depuis votre main, Deck ou Cimetière en Position de Défense (si vous Invoquez Spécialement depuis le Deck, il doit être de max. Niveau 4), ou si vous contrôlez une Carte Monstre Normal, vous pouvez appliquer 1 de ces effets à la place.
● Détruisez tous les monstres contrôlés par votre adversaire.
● Détruisez toutes les Magies/Pièges contrôlés par votre adversaire.
● Piochez 2 cartes.
● Invoquez Spécialement 1 monstre depuis un des Cimetières sur votre Terrain.
Vous ne pouvez activer qu'1 ""Anciens Secrets"" par tour.",Activer,Appliquer un autre effet ?,Détruire un monstre,Détruire des cartes Magie/Piège,Piocher,Invocation Spéciale,,,,,,,,,,
100266002,Force de Miroir de l'Esprit,"Si votre adversaire contrôle min. 5 cartes face recto, l'activation et l'effet de cette carte ne peuvent pas être annulés, et aussi, vous pouvez activer cette carte le tour où elle a été Posée.
À l'un des moments suivants : annulez les effets d'autant de cartes face recto contrôlées par votre adversaire que possible, et si vous le faites, détruisez-les, et aussi, vos monstres ne peuvent pas attaquer directement jusqu'à la fin du prochain tour après la résolution de cette carte.
● Lorsque le monstre contrôlé par votre adversaire avec la plus haute ATK (même en cas d'égalité) déclare une attaque.
● Lorsque votre adversaire active un effet de monstre qui va détruire une ou plusieurs cartes sur le Terrain.
● Lorsque votre adversaire active un effet de monstre dans la main ou Terrain durant votre tour.",Activer,"Activer en appliquant l'effet de ""Force de Miroir de l'Esprit"".",,,,,,,,,,,,,,
100266003,Émissaires des Ténèbres,"Si vous recevez des dommages de combat ou d'effet : vous pouvez Invoquer Spécialement cette carte depuis votre main, et si vous le faites, gagnez 2000 LP, puis vous pouvez appliquer 1 de ces effets.
● Invoquez Spécialement 1 ""Émissaires des Ténèbres"" depuis votre main, Deck ou Cimetière.
● Détruisez max. 2 monstres en Position d'Attaque contrôlés par votre adversaire.
Durant la End Phase, si cette carte a été Invoquée Spécialement ce tour : vous pouvez cibler 1 Piège dans votre Cimetière ; Posez-le.
Vous ne pouvez utiliser chaque effet de ""Émissaires des Ténèbres"" qu'une fois par tour.",Invocation Spéciale,Poser un Piège,Invocation Spéciale,Effet de destruction,Ne rien faire,,,,,,,,,,,
100266004,Dragon Armé des Ténèbres Punisseur,"Ni Invocable Normalement ni Posable Normalement.
Uniquement Invocable Spécialement (depuis votre main) en ayant exactement 3 monstres TÉNÈBRES dans votre Cimetière.
Vous pouvez révéler cette carte dans votre main ; Invoquez Spécialement 1 monstre TÉNÈBRES de max. Niveau 6 depuis votre main, et aussi, vous ne pouvez pas Invoquer Spécialement (monstres TÉNÈBRES exclus) le reste de ce tour.
Durant la Main Phase (Effet Rapide) : vous pouvez bannir max. 3 monstres TÉNÈBRES depuis votre Cimetière, puis ciblez autant de cartes sur le Terrain ; détruisez-les.
Vous ne pouvez utiliser chaque effet ""Dragon Armé des Ténèbres Punisseur"" qu'une fois par tour.",Invocation Spéciale,Détruire,,,,,,,,,,,,,,
100266005,"Ekhajar, Dragon Descendant de la Barrière de Glace","1 Syntoniseur + 1+ non-Syntoniseur
Si cette carte est Invoquée par Synchronisation : vous pouvez défausser 1 carte ; bannissez 2 cartes depuis le Terrain et/ou Cimetière de votre adversaire.
Si votre adversaire Invoque Spécialement un ou plusieurs monstres : vous pouvez bannir 1 carte depuis votre main ; renvoyez 1 carte dans le Terrain ou Cimetière à la main.
Si cette carte Invoquée par Synchronisation est envoyée au Cimetière durant le tour de votre adversaire : vous pouvez bannir 1 carte depuis la main (au hasard), Terrain ou Cimetière de votre adversaire.
Vous ne pouvez utiliser chaque effet de ""Ekhajar, Dragon Descendant de la Barrière de Glace"" qu'une fois par tour.",Bannir depuis le Terrain/Cimetière,Renvoyer à la main,Bannir depuis la main/le Terrain/le Cimetière,Bannir une carte depuis votre main ?,,,,,,,,,,,,
100266006,Numéro 101 : Honneur Silencieux ARCHE - Asile de l'Âme,"2 monstres de Niveau 4
Vous pouvez détacher 1 Matériel de cette carte, puis activez 1 de ces effets ;
● Choisissez 1 monstre de Niveau 4 (le monstre détaché exclu) dans votre Cimetière, et ajoutez 1 monstre de Niveau 4 du même Type et Attribut, mais de nom différent, depuis votre Deck à votre main.
● Ciblez 1 monstre contrôlé par votre adversaire ; attachez-le à cette carte.
Vous ne pouvez utiliser cet effet de ""Numéro 101 : Honneur Silencieux ARCHE - Asile de l'Âme"" qu'une fois par tour. 
Si cette carte va être détruite, vous pouvez détacher 1 Matériel de cette carte à la place.",Activer,Ajouter à la main,Comme Matériel Xyz,,,,,,,,,,,,,
