id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200289,Ilios le Dragon du Soleil Noir,"Vous pouvez révéler 3 monstres Dragon dans votre Extra Deck avec min. 3000 ATK et de noms différents ; Invoquez Spécialement cette carte depuis votre main.
Si cette carte est envoyée au Cimetière : vous pouvez cibler 1 monstre Fusion, Synchro, Xyz ou Lien Dragon que vous contrôlez ; votre adversaire ne peut pas le cibler avec des effets de carte ce tour.
Aucun joueur ne peut activer ni de cartes ni d'effets en réponse à l'activation de cet effet.
Vous ne pouvez utiliser chaque effet de ""Ilios le Dragon du Soleil Noir"" qu'une fois par tour.",Invocation Spéciale,Accorder une protection,L'effet de {CARD} est actuellement appliqué.,,,,,,,,,,,,,
100200290,Scène du Destin,"Vous pouvez activer cette carte le tour où elle a été Posée, en révélant 1 Monstre Normal dans votre main.
Invoquez Spécialement max. 5 Monstres Normaux depuis votre main et/ou Cimetière en Position d'Attaque, et aussi, vous ne pouvez pas Invoquer Spécialement depuis l'Extra Deck le reste de ce tour après la résolution de cette carte.
Vous ne pouvez activer qu'1 ""Scène du Destin"" par tour.",Activer,Activer en appliquant l'effet de {CARD}.,,,,,,,,,,,,,,
100260001,"Chapeau, Troupe de Clowns","Échelle Pendule = 7
[ Effet Pendule ]
Durant votre Main Phase : vous pouvez envoyer 1 carte ""Troupe de Clowns"" (Monstres Pendule exclus) depuis votre Deck au Cimetière, et si vous le faites, Invoquez Spécialement cette carte, et aussi, vous ne pouvez pas activer les effets de monstres Invoqués Spécialement depuis le Deck ou Extra Deck jusqu'à la fin du prochain tour. Vous ne pouvez utiliser cet effet de ""Chapeau, Troupe de Clowns"" qu'une fois par tour.
----------------------------------------
[ Effet de Monstre ]
Les monstres contrôlés par votre adversaire perdent 1500 DEF tant que vous contrôlez un monstre Invoqué par Sacrifice. Si cette carte est Sacrifiée : vous pouvez activer 1 de ces effets (mais vous ne pouvez utiliser chacun de ces effets de ""Chapeau, Troupe de Clowns"" qu'une fois par tour) ;
● Mélangez tous les Monstres Pendule sur le Terrain et face recto dans les Extra Decks dans le Deck.
● Invoquez Spécialement 1 monstre ""Troupe de Clowns"" non-Pendule depuis votre Deck ou Extra Deck, en ignorant ses conditions d'Invocation.",Invocation Spéciale,Choisir un effet,Renvoyer au Deck,Invocation Spéciale,,,,,,,,,,,,
100261001,Lapin des Ténèbres Malin,"Après que cette carte est Invoquée Normalement ou Spécialement, vous pouvez Invoquer Normalement 1 monstre qui mentionne ""Monde des Toons"" durant votre Main Phase ce tour, en plus de votre Invocation/Pose Normale (vous ne pouvez gagner cet effet qu'une fois par tour).
Cette carte est traitée comme un monstre Toon tant que ""Monde des Toons"" est sur le Terrain.
Une fois par tour : vous pouvez ajouter à votre main, ou placer face recto sur votre Terrain, 1 Magie de Terrain ou Continue ""Toon"" depuis votre Deck.",,"Invoquer par l'effet de ""Lapin des Ténèbres Malin""",Effet d'ajout à la main,Placer,,,,,,,,,,,,
100261002,Chat Comique,"Cette carte est traitée comme un monstre Toon tant que ""Monde des Toons"" est sur le Terrain.
Durant la Main Phase (Effet Rapide) : vous pouvez Sacrifier 1 monstre (si vous contrôlez ""Monde des Toons"", vous pouvez Sacrifier 1 monstre contrôlé par votre adversaire, même si vous ne le contrôlez pas), et si vous le faites, Invoquez Spécialement 1 monstre qui mentionne ""Monde des Toons"" depuis votre main ou Deck, en ignorant ses conditions d'Invocation.
Vous ne pouvez utiliser cet effet de ""Chat Comique"" qu'une fois par tour.",,Invocation Spéciale,,,,,,,,,,,,,,
100261003,Boîte Maléfique,"Si vous contrôlez ""Monde des Toons"" : vous pouvez Invoquer Spécialement cette carte depuis votre main, puis vous pouvez ajouter à votre main ou Poser 1 Piège ""Toon"" depuis votre Deck.
Vous ne pouvez utiliser cet effet de ""Boîte Maléfique"" qu'une fois par tour.
Cette carte est traitée comme un monstre Toon tant que ""Monde des Toons"" est sur le Terrain.
Une fois par tour (Effet Rapide) : vous pouvez cibler 1 carte dans l'un des Cimetières ; placez-la au-dessous du Deck.",Invocation Spéciale,Récupérer depuis le Cimetière,Sélectionner une Carte Piège ?,,,,,,,,,,,,,
100261004,Mage Illusionniste Anonyme aux Yeux Noirs,"Vous pouvez défausser cette carte, puis activez 1 de ces effets (mais vous ne pouvez utiliser chacun de ces effets de ""Mage Illusionniste Anonyme aux Yeux Noirs"" qu'une fois par tour) ;
● Placez 1 ""Télépathie"" depuis votre main ou Deck face recto sur votre Terrain.
● Ajoutez 1 autre monstre qui mentionne ""Monde des Toons"" depuis votre Cimetière à votre main, puis vous pouvez l'Invoquer Spécialement, en ignorant ses conditions d'Invocation.
Si cette carte combat un monstre, aucun de ces 2 monstres ne peut être détruit par ce combat.",Défausser,Placer une Carte Piège,Récupérer un monstre,Invocation Spéciale?,,,,,,,,,,,,
100261005,Dragon Ultime Toon aux Yeux Bleus,"""Dragon Toon aux Yeux Bleus"" + 2 monstres Toon
Uniquement Invocable Spécialement (depuis votre Extra Deck) en mélangeant les cartes ci-dessus depuis votre main, Terrain et/ou Cimetière dans le Deck/Extra Deck.
Vos monstres Toon peuvent attaquer directement.
Une fois par tour : vous pouvez ajouter 1 carte ""Toon"", ou 1 carte qui mentionne un nom de carte ""Toon"", depuis votre Cimetière à votre main.
Durant le calcul des dommages, si votre monstre Toon est attaqué : vous pouvez le bannir jusqu'à la fin de la Damage Step.",,Recycler,Bannir,,,,,,,,,,,,,
100261006,Monde des Toons le Monde Parfait,"Le nom de cette carte devient ""Monde des Toons"" tant qu'elle est dans la Zone Terrain.
Une fois par tour : vous pouvez ajouter 1 carte ""Toon"", ou 1 carte qui mentionne un nom de carte ""Toon"", depuis votre Deck à votre main.
Vous ne pouvez utiliser cet effet de ""Monde des Toons le Monde Parfait"" que trois fois par tour.
Avant la résolution d'une autre carte ou effet activé, vous pouvez bannir 1 monstre Toon que vous contrôlez jusqu'à immédiatement après la résolution de la carte/effet, et aussi, vous ne pouvez pas bannir de monstres du même nom d'origine avec cet effet de ""Monde des Toons le Monde Parfait"" le reste de ce tour.",,Ajouter à la main,,Bannir le monstre ?,,,,,,,,,,,,
100261007,Télépathie,"Tant que vous avez une carte ""Toon"" dans votre Terrain ou Cimetière, votre adversaire doit garder sa main révélée, et aussi, vous pouvez regarder ses cartes Posées à tout moment.
Si vous avez un monstre Toon et une Magie ""Toon"" dans votre Terrain et/ou Cimetière : vous pouvez déclarer 1 nom de carte qui n'est pas parmi les cartes/effets activés dans cette Chaîne ; annulez les effets activés des cartes de ce nom d'origine jusqu'à la fin de ce tour, tant que cette carte est face recto sur le Terrain.
Vous ne pouvez utiliser cet effet de ""Télépathie"" qu'une fois par tour.",,Déclarer,,,,,,,,,,,,,,
