id,name,type,atk,def
100200290,Scène du Destin,4,0,0
100200291,Échecs de Monstre Capsule,524290,0,0
100200292,Elfe Pur-Sang,33,1800,1500
100200293,Lion d'Assaut,33,2600,2500
100200294,Connexion de Puissance,2,0,0
100260001,"Chapeau, Troupe de Clowns",16777249,1900,800
100261001,Lapin des Ténèbres Malin,33,1100,1500
100261002,Chat Comique,33,0,0
100261003,Boîte Maléfique,33,2300,2000
100261004,Mage Illusionniste Anonyme aux Yeux Noirs,33,0,0
100261005,Dragon Ultime Toon aux Yeux Bleus,4194401,4500,3800
100261006,Monde des Toons le Monde Parfait,524290,0,0
100261007,Télépathie,131076,0,0
100261023,"Terracottan, Artisanesorcière",33,0,2000
100261024,"Marka, Artisanesorcière",33,2500,0
100261025,"Madame Rilliona, Artisanesorcière",97,3800,2800
100261026,"Élèves, Artisanesorcière",97,1800,2100
100261027,Célébration Artisanesorcière,65538,0,0
100261028,Walpurgis Artisanesorcière,524290,0,0
100261029,Distorsion Artisanesorcière,1048580,0,0
100261047,Ogresses Désenchaînées - Shara,33,1500,2000
100261048,Ogresses Désenchaînées - Shma,33,1500,2000
100261049,Magistrat Malveillant Désenchaîné de Kamura,33,2000,2500
100261050,Enma Désenchaîné du Seigneur de Yama,67108897,3000,135
100261051,Âme Désenchaînée de la Rage Abominateur,67108897,2100,42
100261052,Réincarnation des Désenchaînés,131074,0,0
100261053,Syncrétisme Désenchaîné,4,0,0
100263001,Tyrannosaure Noir,33,2600,1800
100263002,Force Arcane XII - Le Pendu,33,2200,2200
100263003,"Candelato, le Monstre de Lumière",33,0,0
100263004,"Eitom, le Guerrier Plasma",33554465,3000,2500
100263005,Seigneur Chevalier Blanc,33,2000,2000
100263006,Invincible Seigneur de l'Au-Delà,33,1300,2000
100263007,"Bloqueur Clay, HÉROS Élémentaire",97,0,2800
100263008,Écrase-Poupée,2,0,0
100263009,Invocation Éclair,65538,0,0
100263010,Explosion D,2,0,0
100264002,Origine de l'Archdémon,33,2500,1200
100264003,"Makourai, le Coup de Foudre",65538,0,0
100265002,"Graine, Artisanesorcière",33,1300,1500
101306001,Guerrier Panthère Rapide,33,2000,1600
101306002,Chevalier Dragon du Glaive de l'Alligator,33,1700,1500
101306003,Jinzo - Choqueur Énergétique,33,2400,1500
101306004,"Pêcheur, Légende de la Mer",33,1850,1600
101306013,亚特兰蒂斯的龙神-泰达路斯,33,2600,1500
101306014,亚特兰蒂斯的战将,33,2100,1400
101306015,亚特兰蒂斯的怪腕,33,1500,1200
101306016,亚特兰蒂斯的妖涡,33,1400,1800
101306021,Dogma de la Mort - HÉROS de la Destinée,33554465,3400,2400
101306022,Lige de la Damnation - HÉROS de la Destinée,33,600,800
101306023,Servant du Cuirassé - HÉROS de la Destinée,33,400,700
101306024,Guide Inflexcipateur,4129,1400,1100
101306025,Cristal Inflexcipateur - Tiamite,33,0,2200
101306036,Dragon Noir aux Yeux Rouges Dépassé,97,3400,3000
101306037,Cuirassé - HÉROS de la Destinée,97,-2,2800
101306041,Éveillé Inflexcipateur - Tiamite,8225,3300,2200
101306045,Rapickelavee la Cavalerie Lourde Brillamment Couronnée,8388641,2000,2000
101306046,苍海龙神-尼奥泰达路斯之怒,67108897,2900,135
101306047,真海龙骑-泰达路斯,67108897,2600,7
101306049,Lumineuse Inflexcipateur,67108897,1800,10
101306052,Magicien du Temps des Ténèbres,65538,0,0
101306053,Dé-Crâne Gracieux,65538,0,0
101306054,Bouc Émissaire Endormi,65538,0,0
101306058,龙都 亚特兰蒂斯,524290,0,0
101306059,呼应的传说之都,2,0,0
101306060,显现的传说之都,131074,0,0
101306062,Ville-Prison de la Tour de l'Horloge - Ville Ténébreuse,524290,0,0
101306063,Copains Inflexcipateur,2,0,0
101306070,Profanateur de Tombes Inutile,4,0,0
101306071,Boîte du Renversement,131076,0,0
101306076,海龙神的大涡,1048580,0,0
101306149,Jeton Miroitement,16401,0,0
101306154,Jeton Bouc Émissaire,16401,0,0
101306254,Jeton Bouc Émissaire,16401,0,0
101306354,Jeton Bouc Émissaire,16401,0,0
101306454,Jeton Bouc Émissaire,16401,0,0
