id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200290,Stage of Destiny,"การ์ดที่มีชื่อนี้สามารถใช้งานได้เทิร์นละ 1 ใบเท่านั้น การ์ดใบนี้สามารถใช้งานได้ในเทิร์นที่วางคว่ำอยู่ โดยการแสดงมอนสเตอร์ปกติ 1 ใบจากบนมือให้คู่ต่อสู้ดู
①: คุณสามารถอัญเชิญพิเศษมอนสเตอร์ปกติได้สูงสุด 5 ใบจากบนมือและ/หรือสุสาน ในสภาพพร้อมโจมตี หลังจากการ์ดนี้ทำงาน จนจบเทิร์นนี้ คุณจะไม่สามารถอัญเชิญพิเศษมอนสเตอร์จากเอ็กซ์ตร้าเด็คได้",เปิดใช้งาน,เปิดใช้งานโดยใช้เอฟเฟกต์ของ {CARD},,,,,,,,,,,,,,
100200291,Capsule Monster Chess,"เอฟเฟกต์ ① และ ② ของการ์ดใบนี้ สามารถใช้ได้อย่างละ 1 ครั้งต่อเทิร์น
①: ผู้เล่นทั้งสองฝ่ายสามารถใช้ได้ใน Main Phase ของตนเอง โดยเลือกเป้าหมายมอนสเตอร์ 1 ตัวจากสุสานของตนเอง มอนสเตอร์ตัวนั้นจะถูกวางแบบหงายหน้าในโซนเวทมนตร์ & กับดักของตนเอง โดยถือว่าเป็น การ์ดเวทมนตร์ต่อเนื่อง
②: ผู้เล่นทั้งสองฝ่ายสามารถใช้ได้ใน End Phase ของตนเอง โดยส่งการ์ดมอนสเตอร์แบบหงายหน้า 1 ใบจากสนามของตนเองลงสุสาน อัญเชิญพิเศษมอนสเตอร์ 1 ตัวจากเด็คที่มีเผ่าพันธุ์และแอททริบิวต์ดั้งเดิมเหมือนกับมอนสเตอร์ตัวนั้น และมีเลเวลดั้งเดิมสูงกว่ามอนสเตอร์ตัวนั้น 1-3 ระดับ",,Place a monster,เรียกพิเศษ,,,,,,,,,,,,,
100200292,Thoroughbred Elf,"เอฟเฟกต์ ① ของการ์ดนี้สามารถใช้งานได้เทิร์นละ 1 ครั้งเท่านั้น
①: คุณสามารถใช้งานได้ในช่วง Main Phase ของคุณ ส่งการ์ดเวทมนตร์ประเภทสวมใส่ 1 ใบจากเด็คของคุณลงสุสาน หลังจากนั้น พลังโจมตีของการ์ดใบนี้จะเพิ่มขึ้น 500 จนจบเทิร์นของคู่ต่อสู้
②: คุณสามารถใช้งานได้เมื่อการ์ดใบนี้ทำลายมอนสเตอร์ของคู่ต่อสู้จากการต่อสู้ เลือกมอนสเตอร์เผ่าเมจิเชียน/ธาตุแสง เลเวล 4 หรือต่ำกว่า 1 ใบจากเด็คของคุณ เพิ่มขึ้นมือหรืออัญเชิญพิเศษ (ยกเว้น ""Thoroughbred Elf"")",ส่งสุสาน,จัดการเด็ค,,,,,,,,,,,,,,
100200293,Assault Lion,"การ์ดใบนี้สามารถอัญเชิญสังเวยได้โดยการสังเวยมอนสเตอร์เผ่าเบอร์เซิร์กเกอร์ 1 ใบในสภาพหงายหน้า เอฟเฟกต์ ② ของการ์ดนี้สามารถใช้งานได้เทิร์นละ 1 ครั้งเท่านั้น
①: ความเสียหายจากการต่อสู้ที่การ์ดใบนี้กระทำต่อคู่ต่อสู้จากการต่อสู้กับมอนสเตอร์ จะถูกคูณสอง
②: คุณสามารถใช้งานได้เมื่อมอนสเตอร์เผ่าเบอร์เซิร์กเกอร์ถูกอัญเชิญปกติหรืออัญเชิญพิเศษในสนามของคุณ ในขณะที่การ์ดใบนี้อยู่ในสุสาน นำการ์ดใบนี้ขึ้นมือ หลังจากนั้น คุณสามารถอัญเชิญสังเวยการ์ดใบนี้แบบหงายหน้า การ์ดใบนี้ที่ถูกอัญเชิญสังเวยด้วยเอฟเฟกต์นี้จะได้รับพลังโจมตีเพิ่ม 500 และจะถูกนำออกนอกเกมหากออกจากสนาม",เรียกแบบสละโดยสละมอนสเตอร์นักรบสัตว์ป่า 1 ตัว,เพิ่มเข้ามือ,เรียกแบบสละ?,,,,,,,,,,,,,
100200294,Power Connection,"เอฟเฟกต์ ① และ ② ของการ์ดนี้ สามารถใช้งานได้อย่างละ 1 ครั้งต่อเทิร์น
①: คุณสามารถเลือกมอนสเตอร์ที่หงายหน้าอยู่บนสนามของคุณกี่ใบก็ได้ (หากเลือกมากกว่า 1 ใบ มอนสเตอร์ทั้งหมดต้องเป็นเผ่าเดียวกัน) พลังโจมตีของมอนสเตอร์ที่ถูกเลือกจะเพิ่มขึ้นเท่ากับจำนวนมอนสเตอร์ที่ถูกเลือก x 500 จนจบเทิร์น
②: คุณสามารถใช้งานได้ในเทิร์นที่คุณใช้งาน ""Power Connection"" นำการ์ดใบนี้จากในสุสานของคุณขึ้นมือ",เปิดใช้งาน,รีไซเคิล,,,,,,,,,,,,,,
100260001,Crew Clan Hat,"Pendulum Scale = 7
[ Pendulum Effect ]
เอฟเฟกต์ Pendulum ของการ์ดนี้สามารถใช้งานได้เทิร์นละ 1 ครั้งเท่านั้น
①: คุณสามารถใช้งานได้ในช่วง Main Phase ของคุณ ส่งการ์ด ""Crew Clan Hat"" 1 ใบที่ไม่ใช่ Pendulum Monster จากเด็คของคุณลงสุสาน จากนั้นอัญเชิญพิเศษการ์ดใบนี้ หลังจากการใช้งานเอฟเฟกต์นี้ จนจบเทิร์นถัดไปของคุณ คุณจะไม่สามารถใช้งานเอฟเฟกต์ของมอนสเตอร์ที่ถูกอัญเชิญพิเศษจากเด็คหรือเอ็กซ์ตร้าเด็คได้
----------------------------------------
[ Monster Effect ]
①: ตราบใดที่มีมอนสเตอร์ที่ถูกอัญเชิญสังเวยอยู่ในสนามของคุณ มอนสเตอร์ในสนามของคู่ต่อสู้จะลด DEF ลง 1500
②: หากการ์ดใบนี้ถูกสังเวย คุณสามารถเลือกใช้งานเอฟเฟกต์ 1 อย่างต่อไปนี้ (เอฟเฟกต์ของการ์ดนี้สามารถเลือกใช้งานได้อย่างละ 1 ครั้งต่อเทิร์น)
● นำ Pendulum Monster ทั้งหมดที่หงายหน้าอยู่ในเอ็กซ์ตร้าเด็คและบนสนามของทั้งสองฝ่ายกลับเข้าเด็ค
● อัญเชิญพิเศษมอนสเตอร์ ""Crew Clan Hat"" 1 ใบที่ไม่ใช่ Pendulum Monster จากเด็คหรือเอ็กซ์ตร้าเด็คของคุณ โดยไม่ต้องสนใจเงื่อนไขการอัญเชิญ",เรียกพิเศษ,เลือกเอฟเฟกต์,กลับเด็ค,เรียกพิเศษ,,,,,,,,,,,,
100261001,Funny Dark Rabbit,"①: มีผลเมื่อการ์ดใบนี้ถูกอัญเชิญปกติหรืออัญเชิญพิเศษ เทิร์นนี้ นอกเหนือจากการอัญเชิญปกติของคุณ คุณสามารถทำการอัญเชิญปกติได้อีก 1 ครั้งในช่วง Main Phase ของคุณ สำหรับมอนสเตอร์ 1 ใบที่มีชื่อ ""Toon World"" ระบุอยู่
②: ตราบใดที่มี ""Toon World"" อยู่ในสนาม การ์ดใบนี้จะถูกนับเป็นมอนสเตอร์ประเภท Toon
③: คุณสามารถใช้งานได้เทิร์นละ 1 ครั้งในช่วง Main Phase ของคุณ เลือกการ์ดเวทมนตร์ประเภท Field หรือ Continuous 1 ใบที่เป็น ""Toon"" จากเด็คของคุณ เพิ่มขึ้นมือหรือวางหงายหน้าไว้ในสนามของคุณ",,เรียกโดยเอฟเฟกต์ของ {CARD},เอฟเฟกต์ค้นหา,วาง,,,,,,,,,,,,
100261002,Comic Cat,"เอฟเฟกต์ ② ของการ์ดนี้ สามารถใช้งานได้เทิร์นละ 1 ครั้งเท่านั้น
①: ตราบใดที่มี ""Toon World"" อยู่ในสนาม การ์ดใบนี้จะถูกนับเป็นมอนสเตอร์ประเภท Toon
②: คุณสามารถใช้งานได้ในช่วง Main Phase ของผู้เล่นฝ่ายใดก็ได้ สังเวยมอนสเตอร์ 1 ใบในสนามของคุณ จากนั้นอัญเชิญพิเศษมอนสเตอร์ 1 ใบจากบนมือหรือเด็คของคุณที่มีชื่อ ""Toon World"" ระบุอยู่ โดยไม่ต้องสนใจเงื่อนไขการอัญเชิญ หากมี ""Toon World"" อยู่ในสนามของคุณ คุณสามารถเลือกสังเวยมอนสเตอร์จากสนามของคู่ต่อสู้ได้เช่นกัน",,เรียกพิเศษ,,,,,,,,,,,,,,
100261003,Evil Box,"เอฟเฟกต์ ① ของการ์ดนี้ สามารถใช้งานได้เทิร์นละ 1 ครั้งเท่านั้น
①: คุณสามารถใช้งานได้หากมี ""Toon World"" อยู่ในสนามของคุณ อัญเชิญพิเศษการ์ดใบนี้จากบนมือของคุณ หลังจากนั้น คุณสามารถเลือกใช้งานเอฟเฟกต์ต่อไปนี้
● เลือกการ์ด Trap 1 ใบที่เป็น ""Toon"" จากเด็คของคุณ เพิ่มขึ้นมือหรือวางคว่ำหน้าไว้ในสนามของคุณ
②: ตราบใดที่มี ""Toon World"" อยู่ในสนาม การ์ดใบนี้จะถูกนับเป็นมอนสเตอร์ประเภท Toon
③: คุณสามารถใช้งานได้เทิร์นละ 1 ครั้ง ในเทิร์นของผู้เล่นฝ่ายใดก็ได้ โดยเลือกการ์ด 1 ใบในสุสานของผู้เล่นฝ่ายใดฝ่ายหนึ่ง นำการ์ดใบนั้นกลับไปไว้ล่างสุดของเด็ค",เรียกพิเศษ,กู้คืนจากสุสาน,เลือกการ์ดกับดัก?,,,,,,,,,,,,,
100261004,Dark-Eyes Illusionist Faceless Mage,"①：สามารถทิ้งการ์ดใบนี้จากบนมือ, เลือกเอฟเฟกต์ 1 อย่างต่อไปนี้เพื่อใช้งาน (เอฟเฟกต์ที่ระบุชื่อการ์ดนี้ใช้ได้เทิร์นละครั้งเท่านั้น)。
● นำการ์ด 1 ใบจากบนมือ หรือ จากเด็ค 「Eye of the Mind's Eye」 ไปวางบนสนามของคุณแบบหงายหน้า。
● ยกเว้นการ์ดใบนี้, มอนสเตอร์ 1 ตัวที่ชื่อมีการระบุ 「Toon World」 กลับขึ้นมือจากสุสานของคุณ จากนั้น, คุณสามารถอัญเชิญพิเศษมอนสเตอร์ตัวนั้นจากบนมือ โดยไม่ต้องคำนึงถึงเงื่อนไขการอัญเชิญ。
②：เมื่อการ์ดใบนี้ต่อสู้กับมอนสเตอร์, ทั้งสองใบนั้นจะไม่ถูกทำลายจากการต่อสู้นั้น。",ทิ้ง,Place a Trap Card,กู้คืนมอนสเตอร์,เรียกพิเศษ?,,,,,,,,,,,,
