id,name,desc,str1,str2,str3,str4,str5,str6,str7,str8,str9,str10,str11,str12,str13,str14,str15,str16
100200290,Palcoscenico del Destino,"Puoi attivare questa carta nel turno in cui è stata Posizionata, rivelando 1 Mostro Normale nella tua mano.
Evoca Specialmente fino a 5 Mostri Normali dalla tua mano e/o Cimitero in Posizione di Attacco, inoltre dopo che questa carta si è risolta, per il resto di questo turno non puoi Evocare Specialmente dall'Extra Deck.
Puoi attivare solo 1 ""Palcoscenico del Destino"" per turno.",Attiva,"Attivare applicando l'effetto di ""Palcoscenico del Destino"".",,,,,,,,,,,,,,
100200291,Scacchi dei Mostri Capsula,"Durante la Main Phase: Il giocatore di turno può scegliere come bersaglio 1 mostro nel suo Cimitero; lo mette scoperto nella sua Zona Magie & Trappole come Magia Continua.
Durante la End Phase: Il giocatore di turno può mandare 1 Carta Mostro scoperta che controlla al Cimitero; Evoca Specialmente 1 mostro dal suo Deck con lo stesso Tipo e Attributo originali, ma con un Livello originale superiore di 1, 2 o 3.
Puoi utilizzare ciascun effetto di ""Scacchi dei Mostri Capsula"" una sola volta per turno.",,Posizionare un mostro,Evocazione Speciale,,,,,,,,,,,,,
100200292,Elfo Purosangue,"Durante la tua Main Phase: Puoi mandare 1 Magia Equipaggiamento dal tuo Deck al Cimitero, poi questa carta guadagna 500 ATK fino alla fine del turno del tuo avversario. Puoi utilizzare questo effetto di ""Elfo Purosangue"" una sola volta per turno.
Quando questa carta distrugge un mostro dell'avversario in battaglia: Puoi aggiungere alla tua mano, oppure Evocare Specialmente, 1 mostro Incantatore LUCE di Livello 4 o inferiore dal tuo Deck, eccetto ""Elfo Purosangue"".",Mandare al Cimitero,Manipolazione del Deck,,,,,,,,,,,,,,
100200293,Leone d'Assalto,"Puoi Evocare tramite Tributo questa carta scoperta offrendo come Tributo 1 mostro Bestia-Guerriero.
Se questa carta combatte contro un mostro, qualsiasi danno da combattimento che infligge al tuo avversario viene raddoppiato.
Se uno o più mostri Bestia-Guerriero vengono Evocati Normalmente o Specialmente sul tuo Terreno mentre questa carta è nel tuo Cimitero: Puoi aggiungere questa carta alla tua mano, poi immediatamente dopo che questo effetto si è risolto, puoi Evocare tramite Tributo questa carta scoperta, e se lo fai, guadagna 500 ATK, inoltre bandiscila quando lascia il Terreno.
Puoi utilizzare questo effetto di ""Leone d'Assalto"" una sola volta per turno.",Evocazione tramite Tributo usando 1 mostro Guerriero-Bestia,Aggiungere alla mano,Evocazione tramite Tributo?,,,,,,,,,,,,,
100200294,Connessione Potente,"Scegli come bersaglio un qualsiasi numero di mostri scoperti che controlli (se scegli come bersaglio 2 o più mostri, devono avere lo stesso Tipo); essi guadagnano 500 ATK per ogni mostro scelto come bersaglio, fino alla fine di questo turno.
Se hai attivato ""Reincarnazione dell'Armamento"" in questo turno: Puoi aggiungere questa carta dal tuo Cimitero alla tua mano.
Puoi utilizzare ciascun effetto di ""Connessione Potente"" una sola volta per turno.",Attiva,Recuperare,,,,,,,,,,,,,,
100260001,Compagnia di Clown Hat,"Valore Pendulum = 7
[ Effetto Pendulum ]
Durante la tua Main Phase: puoi mandare 1 carta ""Compagnia di Clown"" dal tuo Deck al tuo Cimitero, eccetto un Mostro Pendulum e, se lo fai, Evoca Specialmente questa carta, inoltre non puoi attivare gli effetti dei mostri Evocati Specialmente dal Deck o dall'Extra Deck fino alla fine del prossimo turno. Puoi utilizzare questo effetto di ""Compagnia di Clown Hat"" una sola volta per turno.
----------------------------------------
[ Effetto di un Mostro ]
I mostri controllati dal tuo avversario perdono 1500 DEF mentre controlli un mostro Evocato tramite Tributo.
Se questa carta viene offerta come Tributo: puoi attivare 1 di questi effetti (ma puoi utilizzare ciascuno di questi effetti di ""Compagnia di Clown Hat"" una sola volta per turno);
● Mischia nel Deck tutti i Mostri Pendulum sul Terreno e scoperti negli Extra Deck.
● Evoca Specialmente 1 mostro ""Compagnia di Clown"" non-Pendulum dal tuo Deck o Extra Deck, ignorando le sue condizioni di Evocazione.",Evocazione Speciale,Scegli un effetto,Rimettere nel Deck,Evocazione Speciale,,,,,,,,,,,,
100261001,Coniglio Oscuro Divertente,"Dopo che questa carta è stata Evocata Normalmente o Specialmente, durante la tua Main Phase di questo turno puoi Evocare Normalmente 1 mostro che menziona ""Mondo Toon"", in aggiunta alla tua Evocazione Normale/Posizionamento (puoi ottenere questo effetto una sola volta per turno).
Questa carta è trattata come un mostro Toon mentre ""Mondo Toon"" è sul Terreno.
Una volta per turno: puoi aggiungere alla tua mano o mettere scoperta sul tuo Terreno 1 Magia Terreno o Magia Continua ""Toon"" dal tuo Deck.",,"Evocare tramite l'effetto di ""Coniglio Oscuro Divertente""",Effetto di aggiunta alla mano,Posiziona,,,,,,,,,,,,
100261002,Gatto dei Fumetti,"Questa carta è trattata come un mostro Toon mentre ""Mondo Toon"" è sul Terreno.
Durante la Main Phase (Effetto Rapido): puoi offrire come Tributo 1 mostro (se controlli ""Mondo Toon"", puoi offrire come Tributo 1 mostro controllato dal tuo avversario, anche se non lo controlli), e se lo fai, Evoca Specialmente dalla tua mano o dal tuo Deck 1 mostro che menziona ""Mondo Toon"", ignorando le sue condizioni di Evocazione.
Puoi utilizzare questo effetto di ""Gatto dei Fumetti"" una sola volta per turno.",,Evocazione Speciale,,,,,,,,,,,,,,
100261003,Scatola Malvagia,"Se controlli ""Mondo Toon"": puoi Evocare Specialmente questa carta dalla tua mano, poi puoi aggiungere alla tua mano o Posizionare 1 Trappola ""Toon"" dal tuo Deck. Puoi utilizzare questo effetto di ""Scatola Malvagia"" una sola volta per turno.
Questa carta è trattata come un mostro Toon mentre ""Mondo Toon"" è sul Terreno.
Una volta per turno (Effetto Rapido): puoi scegliere come bersaglio 1 carta in uno dei Cimiteri; mettila in fondo al Deck.",Evocazione Speciale,Recupera dal Cimitero,Selezionare una Carta Trappola?,,,,,,,,,,,,,
100261004,Mago Illusionista Senza Volto Occhi Oscuri,"Puoi scartare questa carta, poi attivare 1 di questi effetti (ma puoi utilizzare ciascuno di questi effetti di ""Mago Illusionista Senza Volto Occhi Oscuri"" una sola volta per turno);
● Metti 1 ""Scansione Mentale"" dalla tua mano o Deck scoperta sul tuo Terreno.
● Aggiungi 1 altro mostro dal tuo Cimitero alla tua mano che menziona ""Mondo Toon"", poi puoi Evocarlo Specialmente ignorando le sue condizioni di Evocazione.
Se questa carta combatte contro un mostro, nessuno dei due può essere distrutto in quella battaglia.",Scarta,Posizionare una Carta Trappola,Recuperare un mostro,Evocazione Speciale?,,,,,,,,,,,,
