id,name,type,atk,def
100200290,命运之盘上,4,0,0
100200292,优秀精灵,33,1800,1500
100200293,强袭狮子,33,2600,2500
100200294,力量联结,2,0,0
100260001,Clowntrupp Hut,16777249,1900,800
100261001,Lustiges Finsteres Kaninchen,33,1100,1500
100261002,Komische Katze,33,0,0
100261003,Böse Box,33,2300,2000
100261004,Dunkeläugiger Gesichtsloser Illusionist,33,0,0
100261005,Blauäugiger ultimativer Toon-Drache,4194401,4500,3800
100261006,Toon-Welt die perfekte Welt,524290,0,0
100261007,Verstand Scan,131076,0,0
100261023,Hexwerkerin Terracottan,33,0,2000
100261024,魔女术工匠·签章女巫,33,2500,0
100261025,Hexwerkerin Madam Rilliona,97,3800,2800
100261026,魔女术学徒,97,1800,2100
100261027,Hexwerker-Feier,65538,0,0
100261028,Hexwerker-Walpurgis,524290,0,0
100261029,Hexwerker-Verzerrung,1048580,0,0
100261047,破械式鬼 萨拉,33,1500,2000
100261048,破械式鬼 娑玛,33,1500,2000
100261049,破械冥官 神乐,33,2000,2500
100261050,破械焰魔天 阎摩,67108897,3000,135
100261051,破械神双 罗寂刹,67108897,2100,42
100261052,破械转生,131074,0,0
100261053,破械习合,4,0,0
100263001,Dunkler Tyranno,33,2600,1800
100263002,Arkane Macht XII - Der Gehängte,33,2200,2200
100263003,"Candelato, das Ungeheuer des Lichts",33,0,0
100263004,Plasmakrieger Eitom,33554465,3000,2500
100263005,Weißer Ritter Lord,33,2000,2000
100263006,Unbesiegbarer Untergangslord,33,1300,2000
100263007,Elementar-HELD Clay Wächter,97,0,2800
100263008,Puppenhammer,2,0,0
100263009,Schnellbeschwörung,65538,0,0
100263010,D - Platzen,2,0,0
100264002,恶魔根源,33,2500,1200
100264003,魔降雷,65538,0,0
100265002,魔女术工匠·种植女巫,33,1300,1500
101306001,疾风之豹战士,33,2000,1600
101306002,翼龙龙骑士,33,1700,1500
101306003,人造人-念力能量震慑者,33,2400,1500
101306004,大海的传说-渔人,33,1850,1600
101306021,命运英雄 死亡教义人,33554465,3400,2400
101306022,命运英雄 恶魔统御人,33,600,800
101306023,命运英雄 无惧从者,33,400,700
101306036,真红眼超越黑龙,97,3400,3000
101306037,命运英雄 无惧人,97,-2,2800
101306052,时间黑魔术师,65538,0,0
101306053,天使与恶魔的骰子,65538,0,0
101306054,眠羊 替罪羊,65538,0,0
101306062,幽狱之时计都市-暗黑都市,524290,0,0
101306070,愚蠢的盗墓者,4,0,0
101306071,大逆转箱,131076,0,0
101306154,替身羊衍生物,16401,0,0
101306254,替身羊衍生物,16401,0,0
101306354,替身羊衍生物,16401,0,0
101306454,替身羊衍生物,16401,0,0
