id,name,type,atk,def
100200292,Reinrassiger Elf,33,1800,1500
100200293,Angriffslöwe,33,2600,2500
100200294,Kraftverbindung,2,0,0
100200296,Vorherbestimmtes Duell,131074,0,0
100266001,Antike Geheimnisse,2,0,0
100266002,Gedankenspiegelkraft,4,0,0
100266003,Abgesandte der Dunkelheit,33,2700,2500
100266004,Finsterer bewaffneter Drache - Bestrafer,33554465,2800,1000
100266005,"Ekhajar, Nachfahr-Drache der Eisbarriere",8225,3000,1000
100266006,Nummer 101: Lautlose Ehre ARK – Seelenasyl,8388641,2100,1000
100266007,Ultimativer Himmel,65538,0,0
100266008,Dominustier Rosepamela,4129,0,2000
100267001,Sennet-Prophetin – Nefertari,33,0,1000
100267002,Sennet-Prophet – Amenhotep,33,0,1500
100267003,Sennetnakht-Sphinx,161,5000,2500
100267004,Tausennet Wadjet,161,3200,2500
100267005,Sennetmes Nekhbet,161,2800,1500
100267006,Beresennet Em Heru,524290,0,0
100267007,Sennet Per Akh,2,0,0
100267009,Am Duasennet,4,0,0
100267010,Sennet-Katarakt,4,0,0
100267011,Sennet-Donnersturz,1048580,0,0
100267016,升辉月之帐 西耶洛,33,2100,2100
100267017,升辉月之雅 卡萝尔,33,1400,1400
100267018,升辉月之翼 菈比,33,700,2100
100267019,升辉月之刃 莎娜,33,2800,1400
100267020,升辉月之灯 珂尔谢,33,2800,700
100267021,升辉月之朔 挤牌龟,33,700,1400
100267022,升辉月之天 西耶洛-止注时刻,8388641,2100,2100
100267023,升辉月之望 挤牌龟-头奖壶,8388641,1400,2800
100267025,不夜城的『升辉月』,131074,0,0
100267026,升辉月的辉煌,4,0,0
100267031,虚之异解△欣嫩谷,33,100,1000
100267032,天之异解△谢屋尔,33,1200,200
100267033,碧之异解△图奥内拉,33,300,2000
100267034,绯之异解△奈落,33,1700,400
100267035,天霆异解△黄泉国,33,1000,2500
100267036,葬岭异解△战殒地,33,2400,1200
100267037,狂岚异解△冥神府,33,2100,2800
100267038,虚蚀异解△多罪海,33,3000,2400
100267039,异解△领域-瓦尔波勒斯,524290,0,0
100267041,异解△审判,131076,0,0
100268004,"Blauäugiger ultimativer Drache, der gottübertreffende Diener",97,4500,3800
100268201,Dunkler Paladin – Wellenbewegung,97,2900,2400
100269038,Buntäugiger Übersteuerungs-Drache,67108897,2500,7
100269113,Lunalicht Scharlachroter Tiger,33,1900,1500
100269215,Geschwindigkeitsroid Darumaklopfer,4129,200,1600
101306281,冰原之始祖 欧德姆布拉,33,2500,3200
